Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Tribe
1,B.B.,0.125,0.125,,,,,,,,,,,,,,1,1,,,,1,8,0.125,0.125,M,64,Real Estate Developer,Mission Hills,KS,Pagong
1,Sonja,0,0.125,,0,4,8,1,Rudy,,,,,,,,1,,,,,0,8,0,0,F,63,Musician,Walnut Creek,CA,Tagi
2,Richard,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,38,Corporate Trainer,Newport,RI,Tagi
2,Kelly W,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,22,River Rafting Guide,Kernville,CA,Tagi
2,Rudy,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
2,Sue,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,38,Truck Driver,Palmyra,WI,Tagi
2,Sean,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,30,Neurosurgeon,Carle Place,NY,Tagi
2,Colleen,,0.267857143,,1,,8,1,B.B.,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,M,23,Student,Miami Beach,FL,Pagong
2,Gervase,,0.267857143,,1,,8,1,B.B.,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
2,Jenna,,0.267857143,,1,,8,1,B.B.,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,F,22,Student,Franklin,NJ,Pagong
2,Greg,,0.267857143,,0,,8,1,Ramona,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,M,24,Ivy League Graduate,Gold Hill,CO,Pagong
2,Gretchen,,0.267857143,,1,,8,1,B.B.,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,F,38,Teacher,Clarksville,TN,Pagong
2,Joel,,0.267857143,,1,,8,1,B.B.,1,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,M,27,Health Club Consultant,Sherwood,AR,Pagong
2,Dirk,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,23,Dairy Farmer,Spring Green,WI,Tagi
2,Ramona,,0.267857143,,1,2,8,1,B.B.,,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,F,29,Biochemist,Edison,NJ,Pagong
2,Stacey,,0.267857143,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,27,Attorney,San Francisco,CA,Tagi
2,B.B.,,0.267857143,,0,6,8,1,Ramona,,,,,,1,1,1,,1,8,0.125,0,8,0,0.125,M,64,Real Estate Developer,Mission Hills,KS,Pagong
3,Richard,0.142857143,0.285714286,,1,,7,1,Stacey,1,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,M,38,Corporate Trainer,Newport,RI,Tagi
3,Kelly W,0.142857143,0.285714286,,0,,7,1,Rudy,1,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,F,22,River Rafting Guide,Kernville,CA,Tagi
3,Rudy,0.142857143,0.285714286,,1,2,7,1,Stacey,,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
3,Sue,0.142857143,0.285714286,,1,,7,1,Stacey,1,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,F,38,Truck Driver,Palmyra,WI,Tagi
3,Sean,0.142857143,0.285714286,,1,,7,1,Stacey,1,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,M,30,Neurosurgeon,Carle Place,NY,Tagi
3,Colleen,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,23,Student,Miami Beach,FL,Pagong
3,Gervase,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
3,Jenna,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,22,Student,Franklin,NJ,Pagong
3,Greg,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,24,Ivy League Graduate,Gold Hill,CO,Pagong
3,Gretchen,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,38,Teacher,Clarksville,TN,Pagong
3,Joel,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,M,27,Health Club Consultant,Sherwood,AR,Pagong
3,Dirk,0.142857143,0.285714286,,1,,7,1,Stacey,1,,,,,1,1,1,,1,7,0.142857143,0,7,0,0.142857143,M,23,Dairy Farmer,Spring Green,WI,Tagi
3,Ramona,0.142857143,0.285714286,,,,,,,,,,,,1,,1,1,0,7,0,1,7,0.142857143,0.142857143,F,29,Biochemist,Edison,NJ,Pagong
