Season,Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Original Tribe,Merged,Tribe
,4,Brendan Shapiro,0,0.25,,0,5,9,,Bradley,1,,,,,1,,1,,0,8,0,0,8,0,0,M,40,Physical Education Teacher,Herndon,VA,Naviti,FALSE,Naviti
,4,Donathan Hurley,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,25,Caretaker,Kimper,KY,Malolo,FALSE,Malolo
,4,James Lim,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,24,Business Analyst,New York City,NY,Naviti,FALSE,Naviti
,4,Jenna Bowman,0,0.25,,0,,9,1,Bradley,1,1,,,,1,,1,,0,8,0,0,8,0,0,F,23,Advertising Account Executive,Venice Beach,CA,Malolo,FALSE,Malolo
,4,Laurel Johnson,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,29,Financial Consultant,Minneapolis,MN,Naviti,FALSE,Naviti
,4,Libby Vincek,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,24,Social Media Strategist,Houston,TX,Naviti,FALSE,Naviti
,4,Michael Yerger,0,0.25,,0,,9,1,Bradley,1,1,,,,1,,1,,0,8,0,0,8,0,0,M,18,Real Estate Agent,Los Angeles,CA,Malolo,FALSE,Malolo
,4,Stephanie Johnson,0,0.25,,0,,9,1,Bradley,1,1,,,,1,,1,,0,8,0,0,8,0,0,F,34,Yoga Instructor,Chicago,IL,Malolo,FALSE,Malolo
,4,Angela Perkins,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,42,Army Veteran,Cincinnati,OH,Naviti,FALSE,Naviti
,4,Bradley Kleihege,0,0.25,,1,4,9,,Brendan,1,,,,,1,,1,,0,8,0,0,8,0,0,M,26,Law Student,Los Angeles,CA,Malolo,FALSE,Malolo
,4,Chelsea Townsend,0,0.25,1,1,,9,,Brendan,1,,,,,1,,1,,,8,0,0,8,0,0,F,25,EMT/Pro Cheerleader,Los Angeles,CA,Naviti,FALSE,Naviti
,4,Chris Noble,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,27,Male Model,Brooklyn,NY,Naviti,FALSE,Naviti
,4,Desiree Afuye,0,0.25,1,1,,9,,Brendan,1,,,,,1,,1,,0,8,0,,8,0,0,F,21,Student,Brooklyn,NY,Malolo,FALSE,Malolo
,4,Domenick Abbate,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,38,Construction Supervisor,Nesconset,NY,Naviti,FALSE,Naviti
,4,Kellyn Bechtold,0,0.25,,1,,9,,Brendan,1,,,,,1,,1,,0,8,0,0,8,0,0,F,30,Career Counselor,Denver,CO,Naviti,FALSE,Naviti
,4,Sebastian Noel,0,0.25,,1,,9,,Brendan,1,,,,,1,,1,,0,8,0,0,8,0,0,M,22,Fishing Guide,Satellite Beach,FL,Naviti,FALSE,Naviti
,4,Wendell Holland,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,33,Furniture Company Owner,Philadelphia,PA,Naviti,FALSE,Naviti
,5,Brendan Shapiro,,,,,,,,,,,,,,,,,,,,,,,,,M,40,Physical Education Teacher,Herndon,VA,Naviti,FALSE,Naviti
,5,Donathan Hurley,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,25,Caretaker,Kimper,KY,Malolo,FALSE,Malolo
,5,James Lim,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,24,Business Analyst,New York City,NY,Naviti,FALSE,Naviti
,5,Jenna Bowman,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,F,23,Advertising Account Executive,Venice Beach,CA,Malolo,FALSE,Malolo
,5,Laurel Johnson,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,29,Financial Consultant,Minneapolis,MN,Naviti,FALSE,Naviti
,5,Libby Vincek,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,24,Social Media Strategist,Houston,TX,Naviti,FALSE,Naviti
,5,Michael Yerger,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,M,18,Real Estate Agent,Los Angeles,CA,Malolo,FALSE,Malolo
,5,Stephanie Johnson,0,0.25,,0,7,8,1,Desiree,,,,,,1,,1,,0,8,0,0,8,0,0,F,34,Yoga Instructor,Chicago,IL,Malolo,FALSE,Malolo
,5,Angela Perkins,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,F,42,Army Veteran,Cincinnati,OH,Naviti,FALSE,Naviti
,5,Bradley Kleihege,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,M,26,Law Student,Los Angeles,CA,Malolo,FALSE,Malolo
,5,Chelsea Townsend,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,F,25,EMT/Pro Cheerleader,Los Angeles,CA,Naviti,FALSE,Naviti
,5,Chris Noble,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,27,Male Model,Brooklyn,NY,Naviti,FALSE,Naviti
,5,Desiree Afuye,0,0.25,,1,1,8,1,Stephanie,,,,,,1,,1,,0,8,0,0,8,0,0,F,21,Student,Brooklyn,NY,Malolo,FALSE,Malolo
,5,Domenick Abbate,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,38,Construction Supervisor,Nesconset,NY,Naviti,FALSE,Naviti
,5,Kellyn Bechtold,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,F,30,Career Counselor,Denver,CO,Naviti,FALSE,Naviti
,5,Sebastian Noel,0,0.25,,1,,8,1,Stephanie,1,,,,,1,,1,,0,8,0,0,8,0,0,M,22,Fishing Guide,Satellite Beach,FL,Naviti,FALSE,Naviti
,5,Wendell Holland,0.25,0.25,,,,,,,,,,,,1,1,1,1,1,8,0.125,1,8,0.125,0.25,M,33,Furniture Company Owner,Philadelphia,PA,Naviti,FALSE,Naviti
,6,Donathan Hurley,0.1,0.2,,,,,,,,,,,,,,1,,,,,0.5,5,0.1,,M,25,Caretaker,Kimper,KY,Malolo,TRUE,Lavita
,6,James Lim,0,0.2,,0,4,5,1,Desiree,,,,,,,,1,,,,,0,5,0,,M,24,Business Analyst,New York City,NY,Naviti,TRUE,Lavita
,6,Jenna Bowman,0.2,0.2,,,,,,,,,,,,,,1,1,,,,1,5,0.2,,F,23,Advertising Account Executive,Venice Beach,CA,Yanuya,TRUE,Lavita
,6,Laurel Johnson,0.2,0.2,,,,,,,,,,,,,,1,1,,,,1,5,0.2,,F,29,Financial Consultant,Minneapolis,MN,Yanuya,TRUE,Lavita
,6,Libby Vincek,0.1,0.2,,,,,,,,,,,,,,1,,,,,0.5,5,0.1,,F,24,Social Media Strategist,Houston,TX,Naviti,TRUE,Lavita
,6,Michael Yerger,0,0.2,,1,,5,1,James,1,,,,,,,1,,,,,0,5,0,,M,18,Real Estate Agent,Los Angeles,CA,Malolo,TRUE,Lavita
,6,Angela Perkins,0,0.2,,1,,5,1,James,1,,,,,,,1,,,,,0,5,0,,F,42,Army Veteran,Cincinnati,OH,Naviti,TRUE,Lavita
,6,Bradley Kleihege,0.1,0.2,,,,,,,,,,,,,,1,,,,,0.5,5,0.1,,M,26,Law Student,Los Angeles,CA,Malolo,TRUE,Lavita
,6,Chelsea Townsend,0.1,0.2,,,,,,,,,,,,,,1,,,,,0.5,5,0.1,,F,25,EMT/Pro Cheerleader,Los Angeles,CA,Naviti,TRUE,Lavita
,6,Chris Noble,0.2,0.2,,,,,,,,,,,,,,1,1,,,,1,5,0.2,,M,27,Male Model,Brooklyn,NY,Yanuya,TRUE,Lavita
,6,Desiree Afuye,0,0.2,,1,1,5,1,James,,,,,,,,1,,,,,0,5,0,,F,21,Student,Brooklyn,NY,Malolo,TRUE,Lavita
,6,Domenick Abbate,0.1,0.2,,,,,,,,,,,,,,1,,,,,0.5,5,0.1,,M,38,Construction Supervisor,Nesconset,NY,Naviti,TRUE,Lavita
,6,Kellyn Bechtold,0,0.2,,1,,5,1,James,1,,,,,,,1,,,,,0,5,0,,F,30,Career Counselor,Denver,CO,Naviti,TRUE,Lavita
,6,Sebastian Noel,0.2,0.2,,,,,,,,,,,,,,1,1,,,,1,5,0.2,,M,22,Fishing Guide,Satellite Beach,FL,Yanuya,TRUE,Lavita
,6,Wendell Holland,0.2,0.2,,,,,,,,,,,,,,1,1,,,,1,5,0.2,,M,33,Furniture Company Owner,Philadelphia,PA,Yanuya,TRUE,Lavita
,7,Donathan Hurley,0.25,0.5,,1,,5,1,Bradley,1,,,,,1,1,1,,1,4,0.25,0,4,0,0.25,M,25,Caretaker,Kimper,KY,Malolo,TRUE,Lavita
,7,Jenna Bowman,0.125,0.5,1,,,,,,,,,,,1,,1,,0.5,4,0.125,,4,0,0.125,F,23,Advertising Account Executive,Venice Beach,CA,Yanuya,TRUE,Lavita
,7,Laurel Johnson,0.25,0.5,1,,,,,,,,,,,1,,1,1,,4,0,1,4,0.25,0.25,F,29,Financial Consultant,Minneapolis,MN,Yanuya,TRUE,Lavita
,7,Libby Vincek,0.25,0.5,,1,1,5,1,Bradley,,,,,,1,1,1,,1,4,0.25,0,4,0,0.25,F,24,Social Media Strategist,Houston,TX,Naviti,TRUE,Lavita
,7,Michael Yerger,0.125,0.5,,,,,,,,,,,,1,,1,,0,4,0,0.5,4,0.125,0.125,M,18,Real Estate Agent,Los Angeles,CA,Malolo,TRUE,Lavita
,7,Angela Perkins,0.125,0.5,,,,,,,,,,,,1,,1,,0,4,0,0.5,4,0.125,0.125,F,42,Army Veteran,Cincinnati,OH,Naviti,TRUE,Lavita
